SI,,,Ge,,,I=const=6 [mA],,
U [V],I [mA],T [C],U [V],I [mA],T [ C],t[ 0 C],U Si [V],U Ge [V]
"0,603","2,44","27,3","0,212","3,77","27,3","24,6","0,654","0,25"
"0,61","2,88",,"0,23","4,99",,30,"0,647","0,244"
"0,629","4,43",,"0,24","6,48",,35,"0,64","0,236"
"0,638","5,3",,"0,255","7,97",,40,"0,632","0,228"
"0,656","7,58",,"0,264","8,47",,45,"0,623","0,22"
"0,665","8,83",,"0,271","10,63",,50,"0,613","0,211"
"0,675","10,59",,"0,277","11,96",,55,"0,603","0,202"
"0,681","12,02",,"0,283","13,49",,62,"0,588","0,187"
"0,691","13,76",,"0,289","15,02",,69,"0,572","0,171"
"0,693","14,19",,"0,295","16,74",,,,